epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.912,1.21907,9.1923,0.67378,0.78239,1.40371,0.88843,0.95122,0.97096,0.57417,0.00943,0.0122,0.00034,3e-05,1.33425,7.43506,0.49933,0.74668,1.81623,0.000660377,0.000660377,0.000660377
2,488.081,1.32357,7.48426,0.60416,0.86171,1.4593,0.88699,0.86149,0.92777,0.52593,0.0131,0.0122,0.00085,0.00012,1.45135,7.65146,0.42881,1.68099,1.98642,0.00131391,0.00131391,0.00131391
3,728.41,1.35323,6.95084,0.57351,0.92927,1.47949,0.75793,0.57274,0.7312,0.41241,0.36861,0.23171,0.19,0.03759,1.66413,6.16405,0.53069,1.74012,2.06776,0.00195424,0.00195424,0.00195424
4,964.445,1.32135,6.35611,0.5387,0.89558,1.45497,0.67206,0.89024,0.86396,0.53765,0.47441,0.37805,0.33255,0.08692,1.34633,5.27642,0.42283,1.38612,1.80109,0.0019406,0.0019406,0.0019406
5,1195.28,1.2718,6.14632,0.51667,0.83755,1.42016,0.8309,0.85366,0.92444,0.56168,0.39923,0.35366,0.24497,0.06345,1.3658,5.69063,0.47136,0.89615,1.70981,0.0019208,0.0019208,0.0019208
6,1426.43,1.25308,5.7425,0.50254,0.82292,1.40175,0.88945,0.84146,0.94885,0.55189,0.64396,0.52439,0.43063,0.12704,1.35878,4.62239,0.41063,0.82885,1.73567,0.001901,0.001901,0.001901
7,1657.09,1.21522,5.62447,0.48686,0.79295,1.37918,0.96654,0.92683,0.98745,0.65663,0.68706,0.57317,0.49863,0.14912,1.20763,4.59912,0.39664,0.79786,1.59892,0.0018812,0.0018812,0.0018812
8,1887.78,1.20964,5.4725,0.46321,0.77154,1.36989,0.94921,0.95122,0.97074,0.60802,0.71366,0.67073,0.5753,0.1776,1.29665,3.94818,0.41895,0.67732,1.62431,0.0018614,0.0018614,0.0018614
9,2118.41,1.18897,5.28792,0.45345,0.76546,1.35662,0.9475,0.91463,0.98194,0.65883,0.82985,0.71378,0.70295,0.23906,1.11236,3.68537,0.40817,0.65223,1.5082,0.0018416,0.0018416,0.0018416
10,2348.92,1.15262,5.02879,0.43862,0.73364,1.34203,0.95027,0.92683,0.98606,0.67367,0.78436,0.75409,0.71506,0.26479,1.09439,3.66217,0.40567,0.61801,1.4619,0.0018218,0.0018218,0.0018218
